idx,ssim,psnr,lpips,brightness,color_temp,saturation
78,0.6436438445954654,20.854617948595084,0.07814569771289825,twilight,natural,medium
79,0.8075785987454746,19.792603531960523,0.055705852806568146,twilight,warm_artificial,medium
80,0.8305445047010389,24.225996612128494,0.047392964363098145,twilight,warm_artificial,medium
81,0.3003969174282618,14.264087482239667,0.24964556097984314,day,cool_artificial,low
82,0.7900588207053202,16.04433392764519,0.1415655016899109,overexposed,warm_artificial,medium
83,0.5730189697504927,20.361779120698074,0.10040807723999023,day,cool_artificial,low
84,0.6236504580619616,21.20752244174829,0.19941997528076172,twilight,warm_artificial,high
85,0.717486052161191,18.44005707327643,0.11628013104200363,day,natural,low
86,0.6169517665732914,17.463189460441512,0.11877203732728958,day,warm_artificial,low
87,0.7661703849956817,24.47966666226467,0.06361225992441177,twilight,cool_artificial,medium
88,0.6975521430543817,20.94964059413393,0.11024093627929688,overexposed,warm_artificial,medium
89,0.4147385563289701,16.02107374017935,0.14553536474704742,twilight,cool_artificial,medium
90,0.7627935691713369,22.33155229399108,0.08079370856285095,day,warm_artificial,high
91,0.6095624391303415,18.781421655835747,0.13900920748710632,day,warm_artificial,medium
92,0.5193809387419349,18.848538215168492,0.15790557861328125,night,natural,medium
93,0.49499689983921863,18.028286923328,0.0881553664803505,day,natural,medium
94,0.9395553782899935,29.995679802797813,0.03650227561593056,overexposed,cool_artificial,low
95,0.3932805886665774,14.399216374288455,0.14067599177360535,overexposed,natural,medium
96,0.506325643892611,18.29919280896754,0.14900441467761993,twilight,cool_artificial,medium
97,0.8146923033679047,23.90152669399315,0.06558645516633987,overexposed,cool_artificial,medium
98,0.4062435492050514,17.33231467484426,0.10418735444545746,day,warm_artificial,medium
99,0.640502148579039,15.623838918259638,0.14449439942836761,night,warm_artificial,high
100,0.7963985616235583,24.501213563948873,0.10528971254825592,day,natural,medium
101,0.5794346812637204,21.583839270993032,0.09402266889810562,overexposed,cool_artificial,medium
102,0.7298688042637574,20.587336157492565,0.1032828539609909,day,cool_artificial,medium
103,0.5239140675252666,20.980321774192035,0.11026228964328766,day,warm_artificial,medium
104,0.5892814969455432,21.100871930466806,0.12660866975784302,day,natural,medium
105,0.18930050431691728,13.826329347600115,0.27688539028167725,overexposed,warm_artificial,medium
106,0.7922622028630523,20.310159118193468,0.1502930074930191,overexposed,warm_artificial,high
107,0.8497648833518232,22.31184588489348,0.07686296105384827,twilight,cool_artificial,high
108,0.5883437829586048,19.845764927243405,0.22357125580310822,night,warm_artificial,high
109,0.7059653742831785,14.997435687078005,0.1746596097946167,day,warm_artificial,medium
110,0.6918062885748242,12.493274126520237,0.17847341299057007,day,warm_artificial,medium
111,0.5456373199274155,12.523512494369967,0.16411569714546204,overexposed,warm_artificial,low
112,0.6160974477216795,16.3936838342909,0.14686846733093262,twilight,warm_artificial,medium
113,0.6036285482255611,21.061101659592705,0.10602403432130814,day,natural,medium
114,0.7330317101829755,22.69647913596133,0.078636534512043,day,warm_artificial,high
115,0.6076665923516634,24.374044165689984,0.09310002624988556,overexposed,warm_artificial,medium
116,0.5393052243334463,23.00309179981461,0.10854174196720123,night,warm_artificial,high
117,0.6053951544268309,23.984260324252954,0.11908422410488129,twilight,warm_artificial,medium
118,0.38613776485705326,13.433890712347608,0.34732145071029663,day,warm_artificial,medium
119,0.7333473285816726,20.67554004218397,0.2048027664422989,twilight,warm_artificial,high
120,0.7409972037403949,22.023014431023363,0.07888491451740265,day,cool_artificial,medium
121,0.839754397616602,24.090259865001094,0.0855213850736618,twilight,natural,low
122,0.6651721180559909,19.838927183263444,0.09555736184120178,night,warm_artificial,high
123,0.7136100127320967,15.881146976829681,0.11129617691040039,twilight,natural,medium
124,0.27568213368724503,17.775918475872675,0.12701787054538727,twilight,warm_artificial,high
125,0.6649738128800421,19.02376314722243,0.20299625396728516,overexposed,warm_artificial,medium
126,0.7699564753241034,20.976446215044454,0.11480459570884705,twilight,warm_artificial,high
127,0.7865374415649186,19.89969048784401,0.09443071484565735,overexposed,warm_artificial,low
128,0.38143552064516095,13.959758808696279,0.14580433070659637,overexposed,warm_artificial,medium
129,0.6042869914036323,26.282894057896883,0.08012664318084717,night,warm_artificial,medium
130,0.7807126698448323,21.192593601357302,0.0690448060631752,day,natural,low
131,0.4021074869996368,19.18218659178914,0.10935565829277039,twilight,warm_artificial,medium
132,0.7968329520729487,14.805486278602336,0.15438294410705566,overexposed,natural,low
133,0.39708617071532815,19.256270978495287,0.18627890944480896,day,warm_artificial,high
134,0.5959784446937656,11.640218602255697,0.24844451248645782,twilight,natural,medium
135,0.6753495169361164,16.923737765436584,0.16201835870742798,twilight,warm_artificial,high
136,0.8584189342847163,22.62400017904689,0.0643405169248581,overexposed,warm_artificial,medium
137,0.603113092084175,23.475954772640964,0.0975048840045929,twilight,warm_artificial,medium
138,0.7144311117600052,18.490777250143516,0.21193794906139374,twilight,warm_artificial,high
139,0.6420840556884867,15.797305578763721,0.14280645549297333,twilight,warm_artificial,medium
140,0.5565364800059663,22.15247577521502,0.16576837003231049,twilight,warm_artificial,high
141,0.6685413673163593,21.245514399597848,0.10891100764274597,overexposed,natural,low
142,0.4930753721737023,14.059098887062834,0.282325804233551,twilight,warm_artificial,high
143,0.8555591785183112,21.068250944869593,0.14550867676734924,overexposed,warm_artificial,low
144,0.5781898276001892,17.938094877428753,0.2164275348186493,night,warm_artificial,high
145,0.653419594123375,23.00554622163247,0.10352525115013123,twilight,warm_artificial,medium
146,0.7183315677132165,19.770436153969023,0.07232846319675446,twilight,warm_artificial,medium
147,0.7781444247504982,20.226707400537293,0.100002720952034,twilight,warm_artificial,high
148,0.37366335967061554,14.844545246636153,0.28504329919815063,night,natural,medium
149,0.7531312467398431,23.31408058299335,0.08221689611673355,overexposed,cool_artificial,medium
150,0.7812169283581202,24.099372728980484,0.0679643526673317,twilight,warm_artificial,high
151,0.5561831211799008,13.119552167320075,0.28402650356292725,twilight,warm_artificial,high
152,0.3739212294587763,18.849452777960465,0.17173215746879578,day,warm_artificial,medium
153,0.6945000815071626,19.076483046599794,0.10227789729833603,day,warm_artificial,medium
154,0.7982861431403037,15.112462199928679,0.20127414166927338,overexposed,warm_artificial,medium
155,0.5270422481893745,19.017664973437526,0.062409088015556335,day,natural,medium
156,0.6884561408556942,21.59146925076233,0.05119378864765167,twilight,cool_artificial,medium
157,0.6573199484505516,12.13398073366487,0.15223027765750885,overexposed,cool_artificial,medium
158,0.40392636232626805,18.100728645184446,0.12252125889062881,twilight,natural,low
159,0.6215281144115739,16.705910600912574,0.12821388244628906,twilight,cool_artificial,medium
160,0.606726202303337,15.720804401470474,0.18124841153621674,twilight,natural,medium
161,0.5259476630808119,12.365781946001968,0.1752995252609253,night,natural,medium
162,0.6740400445135374,16.99130869036878,0.09798367321491241,twilight,warm_artificial,high
163,0.6277076399813394,17.4776686746567,0.14916753768920898,day,cool_artificial,medium
164,0.7915012463204039,15.39345265009935,0.19773514568805695,overexposed,cool_artificial,low
165,0.44005018289456305,13.581235865574289,0.25978872179985046,night,warm_artificial,high
166,0.6534797214080956,18.702399660032757,0.10711494833230972,day,warm_artificial,medium
167,0.4213982813310184,18.187994070503404,0.09086467325687408,twilight,natural,medium
168,0.45697884047132153,11.982985967867556,0.21000421047210693,overexposed,cool_artificial,low
169,0.693710940488148,20.159086885740347,0.07605044543743134,overexposed,cool_artificial,medium
170,0.5331086582520349,19.590886307478417,0.10789446532726288,day,cool_artificial,medium
171,0.4871095132119498,17.81175614047469,0.15069474279880524,day,natural,medium
172,0.6816252513779993,19.166472524407098,0.13782241940498352,overexposed,natural,low
173,0.5178821147702046,16.30323317219938,0.09952700138092041,overexposed,cool_artificial,medium
174,0.7875775002083145,21.446475127498253,0.06106415390968323,day,warm_artificial,medium
175,0.5611258928518786,17.31683588353428,0.18252724409103394,twilight,cool_artificial,medium
176,0.8213282882423117,20.91615448607671,0.046619974076747894,day,natural,medium
177,0.4031124155748202,16.575586360007556,0.1352604478597641,day,natural,low
178,0.7277415096964353,23.19882042096582,0.08005038648843765,twilight,warm_artificial,medium
179,0.5853989340952019,19.844857803357755,0.11684013903141022,twilight,warm_artificial,high
180,0.628931905238134,17.534135503027507,0.07183727622032166,day,natural,low
181,0.7844593232007554,26.447850622727216,0.06039167940616608,twilight,warm_artificial,high
182,0.6029099621769461,24.22656069688061,0.07020725309848785,day,natural,low
183,0.6791574732223832,15.272482153009987,0.12203057110309601,day,warm_artificial,medium
184,0.8654748242388709,28.025732785159057,0.048617832362651825,day,warm_artificial,medium
185,0.48505028343901874,22.45816925061577,0.09525789320468903,overexposed,natural,low
186,0.4233856808989566,19.60188737745726,0.0990964025259018,twilight,warm_artificial,high
187,0.7115859919276358,18.543522855985376,0.12905897200107574,day,warm_artificial,high
188,0.82336799000279,24.494097859695245,0.05646999180316925,night,cool_artificial,high
189,0.6890754245227385,19.544195814315223,0.24182817339897156,day,natural,medium
190,0.8713284350867712,25.755137625012935,0.0720566064119339,day,cool_artificial,medium
191,0.6848452223567357,22.58393350538258,0.06264250725507736,day,natural,medium
192,0.5465574529453209,13.063117444341255,0.16615401208400726,overexposed,natural,low
193,0.40510578139459924,13.364855640191024,0.22657500207424164,twilight,natural,medium
194,0.6516067537372376,19.2649696852667,0.20747438073158264,day,warm_artificial,high
195,0.6775653444618334,19.79611790991122,0.15333148837089539,day,warm_artificial,high
196,0.6400086867190854,19.263399413784764,0.13460755348205566,day,cool_artificial,medium
197,0.733385431235302,21.300011395787237,0.10409285128116608,night,warm_artificial,high
198,0.8608333659092509,26.47947007562733,0.03771347925066948,day,cool_artificial,medium
199,0.6882396018430099,13.975894412768461,0.1747191846370697,overexposed,cool_artificial,low
200,0.4642920516404181,17.575233101697933,0.12691925466060638,overexposed,warm_artificial,low
201,0.4735300694072772,17.767706085183313,0.09163644909858704,day,natural,low
202,0.7211120959227287,25.191704447186556,0.057280316948890686,day,cool_artificial,medium
203,0.9265267392486699,22.47658951547765,0.06836730241775513,twilight,warm_artificial,medium
204,0.7598717953412216,17.860338922114664,0.12128634005784988,day,warm_artificial,medium
